"userId","isAnonymous","productId","predictionCount","purchasedCount","matchedRelevant","precisionAt5","recallAt5","ndcgAt5","mapAt5","f1ScoreAt5","createdAt"
"anonymous",true,"67d3d10d92cfc5451cc11803",10,0,6,"1.00","0.83","1.00","1.00","0.91","2025-05-27T05:00:18.017Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc11812",10,3,7,"0.60","0.43","0.72","0.60","0.50","2025-05-27T05:22:25.280Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc117fd",10,3,6,"1.00","0.83","1.00","1.00","0.91","2025-05-27T05:24:11.012Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc117f8",10,3,6,"1.00","0.83","1.00","1.00","0.91","2025-05-27T05:26:21.687Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc11802",10,3,7,"0.60","0.43","0.70","0.55","0.50","2025-05-27T05:27:30.460Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc1181b",10,3,6,"1.00","0.83","1.00","1.00","0.91","2025-05-27T05:29:53.088Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc1180e",10,3,3,"0.60","1.00","1.00","0.60","0.75","2025-05-27T06:03:25.071Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc11815",10,3,4,"0.60","0.75","0.80","0.55","0.67","2025-05-27T06:03:44.765Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc11816",10,3,6,"0.80","0.67","0.87","0.80","0.73","2025-05-27T06:32:44.781Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc1180a",10,3,7,"1.00","0.71","1.00","1.00","0.83","2025-05-27T06:35:08.590Z"
"6833f86bf1ad1f6ed5ba0255",false,"67d3d10d92cfc5451cc1180a",10,3,7,"0.80","0.57","0.85","0.76","0.67","2025-05-27T06:35:08.737Z"
"681788c2064a497be580bf8a",false,"67d3d10d92cfc5451cc11830",10,3,9,"1.00","0.56","1.00","1.00","0.72","2025-05-27T16:21:11.706Z"
"681788c2064a497be580bf8a",false,"6821b3bffd59ee2fa9be7194",10,3,9,"1.00","0.56","1.00","1.00","0.72","2025-05-27T16:22:25.685Z"
"681788c2064a497be580bf8a",false,"",15,3,2,"0.00","0.00","0.00","0.00",0,"2025-05-27T16:43:30.772Z"
"681788c2064a497be580bf8a",false,"",15,3,2,"0.00","0.00","0.00","0.00",0,"2025-05-27T16:43:32.682Z"
"681788c2064a497be580bf8a",false,"",15,3,3,"0.40","0.67","0.67","0.30","0.50","2025-05-27T16:43:35.069Z"
"681788c2064a497be580bf8a",false,"",15,3,0,"0.00","0.00","0.00","0.00",0,"2025-05-27T16:43:36.979Z"
"681788c2064a497be580bf8a",false,"",15,3,2,"0.00","0.00","0.00","0.00",0,"2025-05-27T16:49:38.022Z"
"681788c2064a497be580bf8a",false,"",15,3,3,"0.40","0.67","0.53","0.23","0.50","2025-05-27T16:49:40.264Z"
"681788c2064a497be580bf8a",false,"",15,3,2,"0.20","0.50","0.31","0.07","0.29","2025-05-27T16:49:42.479Z"
"681788c2064a497be580bf8a",false,"67d3d10d92cfc5451cc11800",10,3,9,"1.00","0.56","1.00","1.00","0.72","2025-05-27T17:15:31.294Z"
"anonymous",true,"67d3d10d92cfc5451cc11802",10,0,6,"1.00","0.83","1.00","1.00","0.91","2025-05-27T18:16:24.255Z"
"681788c2064a497be580bf8a",false,"",15,3,5,"0.40","0.40","0.55","0.40","0.40","2025-05-28T04:13:37.797Z"
"681788c2064a497be580bf8a",false,"",15,3,5,"0.80","0.80","0.87","0.80","0.80","2025-05-28T04:13:46.609Z"
"681788c2064a497be580bf8a",false,"",15,3,4,"0.80","1.00","1.00","0.80","0.89","2025-05-28T04:14:04.101Z"
"681788c2064a497be580bf8a",false,"",15,3,5,"0.80","0.80","0.85","0.76","0.80","2025-05-28T04:14:12.833Z"
"681788c2064a497be580bf8a",false,"",10,3,4,"0.60","0.75","0.74","0.45","0.67","2025-05-28T04:53:54.206Z"
"681788c2064a497be580bf8a",false,"",10,3,4,"0.60","0.75","0.71","0.42","0.67","2025-05-28T04:53:54.448Z"
"681788c2064a497be580bf8a",false,"",10,3,4,"0.80","1.00","1.00","0.80","0.89","2025-05-28T04:53:58.558Z"
"681788c2064a497be580bf8a",false,"",10,3,3,"0.20","0.33","0.47","0.20","0.25","2025-05-29T03:03:13.127Z"
"anonymous",true,"67d3d10d92cfc5451cc11800",10,0,6,"1.00","0.83","1.00","1.00","0.91","2025-05-29T03:28:48.231Z"
"anonymous",true,"67d3d10d92cfc5451cc11800",10,0,6,"0.60","0.50","0.72","0.60","0.55","2025-05-29T03:28:48.416Z"
"6833f86bf1ad1f6ed5ba0255",false,"",10,3,10,"1.00","0.50","1.00","1.00","0.67","2025-05-29T03:30:28.501Z"
"6833f86bf1ad1f6ed5ba0255",false,"",10,3,10,"1.00","0.50","1.00","1.00","0.67","2025-05-29T03:30:29.252Z"
